"kind_vorname","kind_geburtsdatum","kind_geschlecht","elt_vorname","elt_nachname","elt_geschlecht","elt_strasse","elt_haus_nr","elt_haus_nr_zusatz","elt_plz","elt_ort","kita_name"
"Marie","2015-01-17","weiblich","Simone","Baumgaertner","weiblich","Forrenböhlstrasse","110",,"4914","Kaltenherberg","Schulklassen von Renata Guendouz / Ursina Bobo"
"Julia","2014-09-08","weiblich","Mike","Vogt","männlich","Mülhauserstrasse","75",,"1787","Mur","Schulklassen von Renata Guendouz / Ursina Bobo"
"Julia","2014-09-08","weiblich","Kristin","Unger","weiblich","Mülhauserstrasse","75",,"1787","Mur","Schulklassen von Renata Guendouz / Ursina Bobo"
"Sebastian","2015-08-11","männlich","Leon","Pabst","männlich","Studhaldenstrasse","66",,"2416","Les Frêtes","Schulklasse von Nina Handschin"
"Sebastian","2015-08-11","männlich","Doreen","Faber","weiblich","Studhaldenstrasse","66",,"2416","Les Frêtes","Schulklasse von Nina Handschin"
"Mike","2014-12-17","männlich","Tim","Schulz","männlich","Hasenbühlstrasse","88",,"3065","Bolligen","Schulklasse von Lara Ponzo"
"Mike","2014-12-17","männlich","Marina","Baum","weiblich","Hasenbühlstrasse","88",,"3065","Bolligen","Schulklasse von Lara Ponzo"
"Maik","2016-01-29","männlich","Mario","Kaufmann","männlich","Kammelenbergstrasse","95",,"8520","Frauenfeld","Schulklasse von Nina Handschin"
"Maik","2016-01-29","männlich","Vanessa","Hartmann","weiblich","Kammelenbergstrasse","95",,"8520","Frauenfeld","Schulklasse von Nina Handschin"
"Ute","2016-11-07","weiblich","Dieter","Maurer","männlich","Dreibündenstrasse","79",,"3066","Deisswil","Schulklasse von Lara Ponzo"
"Ute","2016-11-07","weiblich","Tanja","Meyer","weiblich","Dreibündenstrasse","79",,"3066","Deisswil","Schulklasse von Lara Ponzo"
"Maik","2015-09-18","männlich","Felix","Saenger","männlich","Kronwiesenweg","73",,"3704","Krattigen","Schulklasse von Elisa Brander"
"Maik","2015-09-18","männlich","Ute","Beyer","weiblich","Kronwiesenweg","73",,"3704","Krattigen","Schulklasse von Elisa Brander"
"Diana","2012-06-21","weiblich","Benjamin","Maur","männlich","Strickstrasse","127",,"8001","Zürich","Schulklassen von Renata Guendouz / Ursina Bobo"
"Diana","2012-06-21","weiblich","Katrin","Ziegler","weiblich","Strickstrasse","127",,"8001","Zürich","Schulklassen von Renata Guendouz / Ursina Bobo"
"Angelika","2011-01-01","weiblich","Eric","Goldschmidt","männlich","Kronwiesenweg","12",,"3510","Konolfingen","Schulklasse von Nina Handschin"
"Angelika","2011-01-01","weiblich","Ute","Goldschmidt","weiblich","Kronwiesenweg","12",,"3510","Konolfingen","Schulklasse von Nina Handschin"
"Angelika","2013-04-28","weiblich","Erik","Wirth","männlich","Schuepisstrasse","16",,"9515","Hosenruck","Schulklasse von Lara Ponzo"
"Angelika","2013-04-28","weiblich","Diana","Adler","weiblich","Schuepisstrasse","16",,"9515","Hosenruck","Schulklasse von Lara Ponzo"
"Paul","2012-11-14","männlich","Matthias","König","männlich","Stradun","15",,"6388","Grafenort","Schulklasse von Elisa Brander"
"Paul","2012-11-14","männlich","Nadine","Sommer","weiblich","Stradun","15",,"6388","Grafenort","Schulklasse von Elisa Brander"
"Martina","2010-05-27","weiblich","Eric","Abend","männlich","Dreibündenstrasse","79","C","3066","Deisswil","Schulklasse von Elisa Brander"
"Martina","2010-05-27","weiblich","Janina","Bieber","weiblich","Dreibündenstrasse","79","C","3066","Deisswil","Schulklasse von Elisa Brander"
